PLAYER_NAME,Total_Shots,Total_Points,Total_xP,TEAM_NAME,Overperformance,xP_per_Shot,Overperf_per_Shot,GamesPlayed,Team
Robert Williams III,73,93,99.57817,Portland Trail Blazers,-6.5781707763671875,1.3640845311831122,-0.0901119284433861,20,POR
Isaiah Collier,529,492,539.7276,Utah Jazz,-47.72760009765625,1.020279017197838,-0.0902223064227906,71,UTA
Jeremiah Robinson-Earl,299,309,336.00317,New Orleans Pelicans,-27.003173828125,1.123756434207776,-0.0903116181542642,66,NOP
Baylor Scheierman,105,101,110.50955,Boston Celtics,-9.509552001953123,1.052471923828125,-0.0905671619233631,31,BOS
Russell Westbrook,795,795,867.80414,Denver Nuggets,-72.80413818359375,1.0915775323064072,-0.0915775323064072,75,DEN
Trey Jemison III,70,76,82.462494,New Orleans Pelicans,-6.462493896484375,1.178035627092634,-0.0923213413783482,38,LAL
Day'Ron Sharpe,298,319,346.61707,Brooklyn Nets,-27.6170654296875,1.1631445148647233,-0.092674716207005,50,BKN
Scottie Barnes,1010,958,1051.7097,Toronto Raptors,-93.709716796875,1.0412967493038363,-0.0927818978186881,65,TOR
Quenton Jackson,115,126,136.94052,Indiana Pacers,-10.940521240234377,1.1907871412194293,-0.0951349673063858,28,IND
Reed Sheppard,234,216,238.45982,Houston Rockets,-22.45982360839844,1.019059075249566,-0.0959821521726429,52,HOU
Mitchell Robinson,51,64,68.90175,New York Knicks,-4.9017486572265625,1.351014679553462,-0.0961127187691482,17,NYK
Drew Timme,97,94,103.43035,Brooklyn Nets,-9.43035125732422,1.0662922810033424,-0.0972201160548888,9,BKN
Jett Howard,251,241,266.1168,Orlando Magic,-25.116790771484375,1.0602262580537225,-0.1000668955039218,60,ORL
Jared Rhoden,77,85,92.73272,Toronto Raptors,-7.732719421386719,1.2043210314465809,-0.1004249275504768,14,TOR
Jordan Hawkins,530,498,552.433,New Orleans Pelicans,-54.4329833984375,1.042326383770637,-0.1027037422612028,56,NOP
Gradey Dick,592,584,645.7388,Toronto Raptors,-61.73876953125,1.0907749485325169,-0.1042884620460304,54,TOR
Anthony Black,579,540,600.3952,Orlando Magic,-60.39520263671875,1.0369519907369926,-0.1043095036903605,78,ORL
Josh Okogie,196,194,214.63739,Phoenix Suns,-20.63739013671875,1.0950887251873405,-0.1052928068199936,40,CHA
Rudy Gobert,493,654,707.10974,Minnesota Timberwolves,-53.1097412109375,1.4342996779126522,-0.1077276697990618,72,MIN
Terry Rozier,583,549,611.8305,Miami Heat,-62.83050537109375,1.0494519817686,-0.1077710212197148,64,MIA
KJ Martin,182,211,230.6843,Utah Jazz,-19.684295654296875,1.2674961299686642,-0.1081554706280048,43,UTA
Kobe Bufkin,40,38,42.349243,Atlanta Hawks,-4.3492431640625,1.0587310791015625,-0.1087310791015625,10,ATL
Mo Bamba,104,109,120.33945,New Orleans Pelicans,-11.339447021484377,1.157110067514273,-0.1090331444373497,32,NOP
Lester Quinones,74,68,76.23609,Philadelphia 76ers,-8.236091613769531,1.0302174542401288,-0.1112985353212098,13,NOP
